gt_id,startts,endts,mac_fix,sn_fix,software_version_fix,ioboard_fix
1,2019-06-01 23:32:04,2019-06-01 23:32:05,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:32:07,2019-06-01 23:32:10,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:32:08,2019-06-01 23:32:18,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:33:11,2019-06-01 23:33:13,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:33:13,2019-06-01 23:33:21,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:33:15,2019-06-01 23:33:22,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:34:14,2019-06-01 23:34:17,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:34:20,2019-06-01 23:34:23,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:34:25,2019-06-01 23:34:32,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:35:23,2019-06-01 23:35:32,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:35:28,2019-06-01 23:35:36,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:35:30,2019-06-01 23:35:34,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:36:28,2019-06-01 23:36:33,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:36:30,2019-06-01 23:36:34,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:36:32,2019-06-01 23:36:41,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:37:28,2019-06-01 23:37:35,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:37:40,2019-06-01 23:37:42,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:37:39,2019-06-01 23:37:46,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:38:37,2019-06-01 23:38:38,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:38:47,2019-06-01 23:38:49,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:38:48,2019-06-01 23:38:51,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:39:41,2019-06-01 23:39:47,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:39:51,2019-06-01 23:39:54,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:39:52,2019-06-01 23:40:00,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:40:48,2019-06-01 23:40:57,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:40:54,2019-06-01 23:41:02,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:40:57,2019-06-01 23:40:59,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:41:51,2019-06-01 23:41:53,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:42:03,2019-06-01 23:42:04,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:41:58,2019-06-01 23:42:00,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:42:57,2019-06-01 23:43:01,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:43:04,2019-06-01 23:43:05,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:43:02,2019-06-01 23:43:09,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:44:00,2019-06-01 23:44:08,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:44:09,2019-06-01 23:44:15,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:44:12,2019-06-01 23:44:18,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:45:06,2019-06-01 23:45:10,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:45:19,2019-06-01 23:45:21,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:45:13,2019-06-01 23:45:16,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:46:15,2019-06-01 23:46:20,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:46:24,2019-06-01 23:46:30,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:46:15,2019-06-01 23:46:24,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:47:23,2019-06-01 23:47:23,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:47:29,2019-06-01 23:47:30,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:47:20,2019-06-01 23:47:21,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:48:29,2019-06-01 23:48:32,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:48:32,2019-06-01 23:48:32,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:48:25,2019-06-01 23:48:30,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:49:38,2019-06-01 23:49:44,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:49:35,2019-06-01 23:49:36,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:49:30,2019-06-01 23:49:38,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:50:42,2019-06-01 23:50:45,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:50:43,2019-06-01 23:50:53,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:50:31,2019-06-01 23:50:36,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:51:50,2019-06-01 23:51:55,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:51:44,2019-06-01 23:51:54,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:51:40,2019-06-01 23:51:41,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:52:51,2019-06-01 23:52:53,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:52:45,2019-06-01 23:52:47,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:52:46,2019-06-01 23:52:50,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:53:54,2019-06-01 23:53:57,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:53:45,2019-06-01 23:53:48,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:53:50,2019-06-01 23:53:55,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:55:00,2019-06-01 23:55:02,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:54:52,2019-06-01 23:54:54,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:54:51,2019-06-01 23:54:55,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:56:02,2019-06-01 23:56:09,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:55:56,2019-06-01 23:55:56,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:55:53,2019-06-01 23:55:58,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:57:10,2019-06-01 23:57:11,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:56:56,2019-06-01 23:56:56,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:56:58,2019-06-01 23:57:05,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:58:13,2019-06-01 23:58:23,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:58:00,2019-06-01 23:58:00,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:58:02,2019-06-01 23:58:02,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-01 23:59:18,2019-06-01 23:59:21,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-01 23:59:08,2019-06-01 23:59:15,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-01 23:59:04,2019-06-01 23:59:13,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:00:22,2019-06-02 00:00:26,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:00:11,2019-06-02 00:00:12,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:00:09,2019-06-02 00:00:10,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:01:31,2019-06-02 00:01:34,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:01:21,2019-06-02 00:01:29,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:01:09,2019-06-02 00:01:18,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:02:33,2019-06-02 00:02:38,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:02:28,2019-06-02 00:02:34,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:02:10,2019-06-02 00:02:18,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:03:39,2019-06-02 00:03:47,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:03:34,2019-06-02 00:03:39,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:03:12,2019-06-02 00:03:14,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:04:47,2019-06-02 00:04:53,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:04:39,2019-06-02 00:04:46,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:04:18,2019-06-02 00:04:20,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:05:56,2019-06-02 00:06:03,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:05:44,2019-06-02 00:05:50,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:05:18,2019-06-02 00:05:22,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:07:02,2019-06-02 00:07:05,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:06:44,2019-06-02 00:06:51,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:06:19,2019-06-02 00:06:25,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:08:03,2019-06-02 00:08:05,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:07:47,2019-06-02 00:07:52,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:07:25,2019-06-02 00:07:27,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:09:09,2019-06-02 00:09:12,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:08:50,2019-06-02 00:08:52,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:08:29,2019-06-02 00:08:31,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:10:14,2019-06-02 00:10:23,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:10:00,2019-06-02 00:10:05,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:09:31,2019-06-02 00:09:31,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:11:19,2019-06-02 00:11:24,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:11:01,2019-06-02 00:11:01,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:10:34,2019-06-02 00:10:40,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:12:22,2019-06-02 00:12:23,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:12:02,2019-06-02 00:12:06,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:11:43,2019-06-02 00:11:50,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:13:27,2019-06-02 00:13:31,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:13:05,2019-06-02 00:13:10,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:12:46,2019-06-02 00:12:52,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:14:32,2019-06-02 00:14:35,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:14:13,2019-06-02 00:14:19,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:13:46,2019-06-02 00:13:48,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:15:40,2019-06-02 00:15:46,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:15:15,2019-06-02 00:15:17,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:14:48,2019-06-02 00:14:49,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:16:48,2019-06-02 00:16:48,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:16:22,2019-06-02 00:16:28,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:15:56,2019-06-02 00:16:05,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
