gt_id,st_id,startts,endts,porterror,host_fix,port_fix,name_fix,serialno_fix,fwversion_fix,comparator_fix,devider_fix,rawpulsescounter_fix,error,stringvoltage,stringcurrent,temperature,totalwh
1,1,2019-06-01 23:32:07,2019-06-01 23:32:07,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,167,0.426,31.0,123841522
1,2,2019-06-01 23:32:07,2019-06-01 23:32:07,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,211,1.05,56.0,123842206
1,3,2019-06-01 23:32:07,2019-06-01 23:32:07,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,485,3.412,38.0,123842341
1,4,2019-06-01 23:32:07,2019-06-01 23:32:07,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,333,1.694,48.0,123841697
1,5,2019-06-01 23:32:07,2019-06-01 23:32:07,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,648,4.245,43.0,123841907
2,6,2019-06-01 23:32:04,2019-06-01 23:32:12,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,908,4.673,52.0,123842405
2,7,2019-06-01 23:32:04,2019-06-01 23:32:12,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,845,1.001,49.0,123842477
2,8,2019-06-01 23:32:04,2019-06-01 23:32:12,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,748,4.847,40.0,123841759
2,9,2019-06-01 23:32:04,2019-06-01 23:32:12,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,374,0.659,20.0,123841876
2,10,2019-06-01 23:32:04,2019-06-01 23:32:12,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,384,0.636,53.0,123841878
3,11,2019-06-01 23:32:10,2019-06-01 23:32:13,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,969,0.059,53.0,123841504
3,12,2019-06-01 23:32:10,2019-06-01 23:32:13,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,145,2.678,46.0,123841597
3,13,2019-06-01 23:32:10,2019-06-01 23:32:13,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,400,2.7059999,20.0,123842125
3,14,2019-06-01 23:32:10,2019-06-01 23:32:13,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,588,4.42,42.0,123841772
3,15,2019-06-01 23:32:10,2019-06-01 23:32:13,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,96,4.748,25.0,123842346
1,1,2019-06-01 23:33:10,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,251,4.5690002,69.0,123842652
1,2,2019-06-01 23:33:10,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,169,1.472,65.0,123843830
1,3,2019-06-01 23:33:10,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,701,1.832,58.0,123843390
1,4,2019-06-01 23:33:10,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,971,1.625,25.0,123843581
1,5,2019-06-01 23:33:10,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,228,2.313,25.0,123843667
2,6,2019-06-01 23:33:13,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,439,0.329,47.0,123844106
2,7,2019-06-01 23:33:13,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,786,1.952,65.0,123843830
2,8,2019-06-01 23:33:13,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,282,0.844,31.0,123842946
2,9,2019-06-01 23:33:13,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,26,0.425,54.0,123843795
2,10,2019-06-01 23:33:13,2019-06-01 23:33:19,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,705,0.059,21.0,123843470
3,11,2019-06-01 23:33:19,2019-06-01 23:33:27,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,19,1.298,66.0,123843026
3,12,2019-06-01 23:33:19,2019-06-01 23:33:27,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,459,1.7720001,20.0,123843336
3,13,2019-06-01 23:33:19,2019-06-01 23:33:27,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,789,2.584,22.0,123843159
3,14,2019-06-01 23:33:19,2019-06-01 23:33:27,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,880,3.467,31.0,123843398
3,15,2019-06-01 23:33:19,2019-06-01 23:33:27,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,214,3.823,68.0,123844316
